Cancion,Artista,Letra
Por el resto,Enanitos Verdes,"Nunca necesitaste a nadie para vivir

ni siquiera te fijaste qué había a tu alrededor.

Desesperado mirabas las paredes de tu habitación

y gritaste muy fuerte, pero nadie te conoció.

Y ahora tendrás que seguir

cargando tu cruz

por el resto de tus días,

por el resto de tus días.

Creías que la balanza estaba siempre a tu favor

y lo mejor de todo era que sólo lo creías vos.

Sólo si diste algo, algo podrás recibir

y el amor que esperas sólo depende de ti.

Y ahora tendrás que seguir

cargando tu cruz

por el resto de tus días,

por el resto de tus días.

Por el resto de tus días,

por el resto de tus días..."
Que alegría,Johnny Tolengo,"Quand tes cheveux s' étalent
Comme un soleil d' été
Et que ton oreiller
Ressemble aux champs de blé
Quand l'ombre et la lumière
dessinent sur ton corps
Des montagnes des forêts
Et des îles aux trésors

Que je t'aime, que je t'aime, que je t'aime,
Que je t'aime, que je t'aime, que je t'aime !

Quand ta bouche se fait douce
Quand ton corps se fait dur
Quand le ciel dans tes yeux
D'un seul coup n'est plus pûr
Quand tes mains voudraient bien
Quand tes doigts n'osent pas
Quand ta pudeur dit non
D' une toute petite voix

Que je t'aime, que je t'aime, que je t'aime,
Que je t'aime, que je t'aime, que je t'aime !

Quand tu n'te sens plus chatte
Et que tu deviens chienne
Et qu'à l'appel du loup
Tu brises enfin tes chaînes
Quand ton premier soupir
Se finit dans un cri
Quand c'est moi qui dis non
Quand c'est toi qui dit oui

Que je t'aime, que je t'aime, que je t'aime,
Que je t'aime, que je t'aime, que je t'aime !

Quand mon corps sur ton corps
Lourd comme un cheval mort
Ne sait pas ne sait plus
S' il existe encore
Quand on a fait l'Amour
Comme d'autres font la guerre
Quand c'est moi le soldat
Qui meure et qui la perd

Que je t'aime, que je t'aime, que je t'aime,
Que je t'aime, que je t'aime, que je t'aime !"
Que tendrá el petiso,Ricky Maravilla,"Busco en tu piel la tormenta
Y los rayos
El huracan de tu cuerpo
Desbocado

Haz el amor conmigo
No es nada malo
Se mezclara lo duice
Con lo salado

Hagamos el amor
Tu pasion vergonzosa
Se te escapa
De las manos
Yo beso tus caderas calurosas
Con mis labios

Haz el amor conmigo
No es nada malo
Ni tu saldras herida
Ni yo dañado

Si solo con mirarnos
Nos deseamos
Nos comemos con los ojos
Siempre los dos
Amandonos

Hagamos el amor
Hagamos el amor
Hagamos el amor"
Querida,Juan Gabriel,"Querida,

cada momento de mi vida

yo pienso siempre en ti mi vida

mira mi soledad

mira mi soledad

que no me sienta nada bien..ohh ven ya



Querida,

no me ha sanado bien la herida

te extraño y lloro todavia

mira mi soledad

mira mi soledad

que no me sienta nada bien..oh ven ya



Querida,

piensa en mi solo un momento y ven

date cuenta de que el tiempo es cruel

y lo he pasado yo sin ti..oh ven ya..ah ah



Querida,

hazlo por quien mas quieras tu

yo quiero ver de nuevo luz

en toda mi casa



oh oh Querida,

ven a mi que estoy sufriendo

ven a mi que estoy muriendo

en esta soledad

en esta soledad

que no me sienta nada bien....ven



Querida,

por lo que quieras tu mas ven

mas compasion de mi tu ten

mira mi soledad

mira mi soledad

que no me sienta nada bien



Querida,



Querida,



Dime cuando tu

dime cuando tu

dime cuando tu vas a volver ajai

Dime cuando tu

dime cuando tu

dime cuando tu vas a volver



Querida.....eje,



Querida,



Dime cuando tu

dime cuando tu

dime cuando tu vas a volver ajai

Dime cuando tu

dime cuando tu

dime cuando tu vas a volver



aja aja tu, ven a mi soledad...tu



yo no puedo ni me quiero olvidar ahu



dime cuando tu.... hey tu



dime cuando tu.... hey tu"
Quién se ha tomado todo el vino,Carlitos Mona Jiménez,"Yo sé bien que estoy afuera
pero el día en que yo me muera
sé que tendrás que llorar,
llorar y llorar, llorar y llorar.

Dirás que no me quisiste,
pero vas a estar muy triste
a así te vas a quedar.

Con dinero y sin dinero
hago siempre lo que quiero
y mi palabra es la ley.

No tengo trono ni reina,
ni nadie que me comprenda,
pero sigo siendo el rey.

Una piedra en el camino
me enseñó que mi destino
era rodar y rodar,
rodar y rodar, rodar y rodar.

Después me dijo un arriero
que no hay que llegar primero,
pero hay que saber llegar.

Con dinero y sin dinero
hago siempre lo que quiero
y mi palabra es la ley.

No tengo trono ni reina,
ni nadie que me comprenda,
pero sigo siendo el rey."
Qué ganas de no verte nunca más,Valeria Lynch,"Qué ganas de no verte nunca más

Aunque me muera

Hacerme de coraje y escapar

Por esa puerta

Qué ganas de no verte nunca más

Y ser valiente

Decirte que con él estoy mejor

Que me comprende

A él le sobra el tiempo como a mí

A él le arde la sangre como a mí

Con él me siento nueva

Tan dispuesta, tan entera

Tan mujer, de carne y hueso, para amar

Qué ganas de no verte nunca más

Qué ganas de no verte nunca más

Qué ganas de cerrar este capítulo en mi vida

Donde fuiste una mentira y nada más

Qué ganas de no verte nunca más

Qué ganas de no verte nunca más

Haberme dado cuenta que, contigo

Estoy desierta

Que no tengo más paciencia que inventar

Qué ganas de no verte nunca más

Te lo confieso

No pidas que me vuelva a equivocar

No pidas eso

Qué ganas de no verte nunca más

Y ser valiente

Decirte que con él estoy mejor

Que me comprende

A él le sobra el tiempo como a mí

A él le arde la sangre como a mí

Con él me siento nueva

Tan dispuesta, tan entera

Tan mujer, de carne y hueso, para amar

Qué ganas de no verte nunca más

Qué ganas de no verte nunca más

Qué ganas de cerrar este capítulo en mi vida

Donde fuiste una mentira y nada más

Qué ganas de no verte nunca más

Qué ganas de no verte nunca más

Haberme dado cuenta que, contigo, estoy desierta

Que no tengo más paciencia que inventar

Qué ganas de no verte nunca más

Qué ganas de no verte nunca más

Haberme dado cuenta que, contigo

Estoy desierta

Que no tengo más paciencia que inventar."
Saca la mano,Antonio Las Primas,"Pido perdón por no haber escuchado
tus ruegos
pido perdón, por las lágrimas que
hablan de mí,
pido perdón por tus noches a solas
pido perdón por sufrir en silencio por ti.

te pido perdón,
a sabiendas que no los concedas
te pido perdón
de la única forma que sé.

Devuélveme la vida,
devuélveme la vida,
recoge la ilusión
que un día me arrancó tu corazón,
y ahora...devuélveme la vida.

Yo no volveré a quererte de nuevo a escondidas
no intentaré convertir mi futuro en tu hiel
no viviré entre tantas mentiras,
intentaré convencerte que siempre te amé
y yo

te pido perdón, aún sabiendo que no los concedas
te pido perdón, de la única forma que sé.

Devuélveme la vida,
devuélveme la vida,
recoge la ilusión
que un día me arrancó tu corazón,
y ahora...
devuélveme la vida
devuélveme la vida,
esconde en tu cajón
los recortes de amargura
de mi amor
y ahora...

devuélveme la vida
devuélveme la vida,
esconde en tu cajón
los recortes de amargura
de mi amor
y ahora...
Devuélveme la vida,
devuélveme la vida,
recoge la ilusión
que un día me arrancó tu corazón,
y ahora...devuélveme la vida."
Sera Porque Te Amo,Ricchi E Poveri,"Che confusione sarà perché ti amo
e un'emozione che cresce piano piano
stringimi forte e stammi più vicino
se ci sto bene sarà perché ti amo

Io canto al ritmo del dolce tuo respiro
e primavera sarà perché ti amo
cade una stella ma dimmi dove siamo
che te ne frega sarà perché ti amo

E vola vola si sa sempre più in alto si va
e vola vola con me il mondo e matto perché
e se l'amore non c'è basta una sola canzone
per far confusione fuori e dentro di te.

E vola vola si sa sempre più in alto si va
e vola vola con me il mondo e matto perché
e se l'amore non c'è basta una sola canzone
per far confusione fuori e dentro di te.

Ma dopo tutto che cosa c'e di strano
e una canzone sarà perché ti amo
se cade il mondo allora ci spostiamo
se cade il mondo sarà perché ti amo.

Stringimi forte e stammi più vicino
e cosi bello che non mi casa c'e di strano
matto per matto almeno noi ci amiamo.

E vola vola si sa sempre più in alto si va
e vola vola con me il mondo e matto perché
e se l'amore non c'è basta una sola canzone
per far confusione fuori e dentro di te.

E vola vola si va sarà perché ti amo
e vola vola con me e stammi più vicino
e se l'amore non c'e ma dimmi dove siamo
che confusione sarà perché ti amo."
Si No Es Ahora,Timbiriche,"Tus ojos fueron esa noche un destello de amor,

tu corazón marcaba el ritmo que mi vida prendió

tratabas de decirme algo y eso no sucedió

y lentas fueron esas horas esperando tu voz.

llamarás, yo lo sé, llamarás si no es ahora, mañana vendrás,

porque si no es ahora, será mañana,

nos juntaremos en un camino,

si no es ahora, será mañana,

como la música en el oído

llamarás, llamarás, yo lo sé,

me amarás, llamarás si no es ahora mañana vendrás

porque si no es ahora, será mañana,

dirás amor con una mirada,

si no es ahora, será mañana,

vendrás amor hasta mi ventana.

llamarás, yo lo sé,

me hablarás, llamarás, si no es ahora mañana vendrás.

Tus ojos fueron esa noche un destello de amor, un destello de amor

y fue como viajar de pronto en una misma ilusión.

tratamos de quedarnos solos y eso no sucedió, no, no sucedió

y lentas fueron esas horas esperando tu voz.

Llamarás, yo lo sé, llamarás si no es ahora,

mañana vendrás,

porque si no es ahora, será mañana,

nos juntaremos en un camino,

si no es ahora, será mañana,

como la música en el oído

Llamarás, tarde o temprano, yo lo sé,

me amarás, llamarás si no es ahora mañana vendrás.

porque si no es ahora,

si no es ahora llamarás tarde o temprano, yo lo sé

llamarás, llamarás, si no es ahora mañana vendrás.

Si no es ahora, será mañana."
Signos,Soda Stereo,"No hay un modo

no hay un punto exacto

te doy todo

y siempre guardo algo

Si estás oculta

como sabré quien eres

me amas a obscuras

duermes envuelta en redes



Signos

mi parte insegura

bajo una luna hostil

signos, oh



Mar de fondo

No caeré en la trampa

llámame pronto

acertijos bajo el agua



Si algo cedes,

calmaré tu histeria

con los dientes

rasgaré tus medias



Signos

mi parte insegura

bajo una luna hostil

signos oh



Signos

uniendo fisuras

figuras sin definir

signos oh



Signos

mi parte insegura

bajo una luna hostil

signos oh



Signos

uniendo fisuras

figuras sin definir

signos oh





(Gracias a Belulh por esta letra)"
Silencio hospital,Los Fabulosos Cadillacs,"Silencio dijo el cura,

silencio dijo el juez,

silencio entonces idiota,

silencio entonces, no!

Hasta dentro de tu celda, tus gritos me hacen mal

silencio entonces idiota, silencio entonces, no

silencio en la calle, silencio hasta el final,

silencio entonces padre,

silencio entonces, no



Voy caminando, no puedo coordinar, estoy,

estoy durmiendo, no puedo respirar

estoy arriba, ya no me vas a abrir, no voy a despertar jamas



Vas caminando, no podes coordinar, estas

estas durmiendo, no vas a respirar

estas arriba, ya no me vas a abrir, no voy a despertar jamas..."
Solo los chicos,Fito Páez,"El chico de la tapa ayer vend�a flores en Corriente,
Despu�s perdi� a su chica en una sala en alg�n hospital,
Y hoy amablemente y con una gran sonrisa en los dientes
Te para en la calle y si no le das te manda a guardar.
Si la polic�a no lo trata muy decentemente,
Si los camioneron no lo llevan hacia donde va,
El se vuelve al Docke y caminando muy tranquilamente
Con la 22 en el bolsillo y un papel de armar.

Hace algunos a�os pateaba la calle
Haciendo la paz y vendiendo postales.
El mundo est� lleno de hijos de puta,
Y hoy especialmente est� llena la ruta
No voy a morir de amor.

El chico de la tapa tiene algunos asuntos pendientes,
Su madre est� de yiro y sus hermanos bebiendo en un bar,
Y el s�bado en la cancha se oye un solo grito
Dock Sud ya tuvo un hijo y lo bautizaron Arsenal.
Y pasan los barbones, los snobs y los hinchapelotas,
Los tanques, las estrellas, las revistas y la Federal,
Y yo me r�o de todos en la cara, son unos idiotas,
Un �ngel me vigila y me protege en esta ciudad.

Siempre viv� en la boca del diablo,
Naciendo muriendo y resucitando...
El mundo est� lleno de hijos de puta
Y hoy especialmente est� llena la ruta,
No voy a morir de amor.
No voy a morir de amor.
No voy a morir de amor."
Solo quiero rock and roll,La Torre,"""Cool breeze""
""Rock that shit homie""
""Gotta"" ""Rock""
""Lyte as a"" ""rock""
""A-a-a-a-a-as a rock""

""Cool breeze"" ""Rockin' it, rockin' it""
""Rock"" ""You gotta rock it""
""Keep on rockin'""
""Rock's the best"" ""Rockin' music""

""Cool breeze"" ""The king of"" ""Rock'n'roll""
""Rock, rock"" ""This world for you""
""King Ad-"" ""Rock the bells""
""I want"" ""Body body rock, body body rock""
""You are now rockin' with the best""
""I put this together to"" ""Rock the house""
""Knocker!""
""I wanna"" ""Rock"" ""with you""

[Skit]
Al Watts: Contestant #1, do you have the answer?
Contestant 1 (Dove): Umm... I wish my cousin Nag was here, he knows these things, no I'm sorry, I don't"
Tan Enamorados,Ricardo Montaner,"Quizás te puedes preguntar 
Que le hace falta a esta noche blanca 
A nuestras vidas, que ya han vivido tanto

Que han visto mil colores, de sabanas de seda 
Y cuando llueve, te gusta caminar 

Vas abrazándome, sin prisa aunque te mojes 

Amor mío, lo nuestro es como es 

Es toda una aventura, no le hace falta nada 



Estoy aquí, tan enamorado de ti 

Qué la noche dura una poco más 

El grito de una ciudad

Que ven nuestras caras, la humedad 



Y te haré compañía, más allá de la vida

Yo te juro que arriba te amare más 

Tan enamorados qué así 

La noche dura un poco más 



La mañana nos traerá 

Un canto nuevo, de pájaros alegres 

Amor mío, así es la vida juntos 

Dos locos de repente, sonriendole 

A la gente que nos ve pasar 



Tan enamorados qué así 

La noche dura un poco más 

Viajar a tu lado en el tren 

Un sueño difícil de creer

Poco a poco el abrazo 

Boca a boca despacio 

Aliento y suspiros tibios 

Anochecer 



Tan enamorados qué así 

La noche dura un poco más



Viajar a tu lado en el tren 

Un sueño difícil de creer"
Te quiero,Hombres G,"Nena, no me llores,

No me vayas a hacer

Llorar a mí.

Dame, dame tu mano

Inténtalo, mi niña

Quiero verte reír



Abrázame fuerte,

Ven corriendo a mí,

Te quiero, te quiero, Te quiero

Y no hago otra cosa

Que pensar en ti



Tú, estas dormida

Y yo te abrazo y

Siento que respiras

Sueño, con tu sonrisa

Te beso, muy despacio

Las mejillas



Necesito verte,

Donde quiera que estés

Te quiero, te quiero, Te Quiero

Y no hago otra cosa

Que pensar en ti

Solo vivo y respiro

Para ti



Te quiero, te quiero...

Te quiero, te quiero...



Abrázame fuerte,

Ven corriendo a mí,

Déjame que te diga

Otra vez que te quiero

Te quiero, te quiero

Déjame que te diga otra vez

Que te quiero, te quiero,

Te quiero te quiero

Déjame que te diga otra vez

Que te quiero, te quiero"
Toda la Vida,Emmanuel,"Toda la vida coleccionado mil amores

haciendo juegos malabares

para no amarte en exclusiva.

Toda la vida poniendo trampas al orgullo

tantas historias como estrellas

para no ser esclavo tuyo

para obtener mi propia música.

Toda la vida descubriendo puertas a escondidas

para escapar de tus heridas

para buscar la aventuras que me liberen de tus besos

solo por eso, solo por eso.

Toda la vida para olvídate

para perderte y recupérate

y no dormirme en tus sentidos

como un idiota enamorado desmadejado

aburrido que se conforma.

Toda la vida marcando números secretos

mandando cartas a escondidas

haciendo citas indiscretas

como un romántico suicida, un suicidas.

Toda la vida sabiendo siempre que me esperas

siempre segura de ti misma

siempre mujer siempre perfecta

y yo buscando mi otra música, mi propia música,

en me música aaah.

Toda la vida pensando siempre en tu egoísmo

y por no ser esclavo tuyo

soy el esclavo de mi mismo.

Toda la vida tirando amor por por todos lados

dejando beso enganchados

en cada nueva despedida

y tu al final la mas querida.

Toda la vida.....

toda la vida.....

toda la vida

toda la vida"
Todo a pulmón,Alejandro Lerner,"Todo el mundo cuenta sus penas
pidiendo la comprension
quien cuenta sus alegrias
no comprende al que sufrio

Se�or de los espacios infinitos
tu que tienes la paz ahi entre las manos
derramala Se�or te lo suplico
y ense�ales a amar a mis hermanos

de lo que pasa en el mundo
por Dios que no entiendo nada
el cardo siempre gritando
y la flor siempre callada

que grite la flor
y que se calle el cardo
y todo aquel que sea mi enemigo
que sea hermano

vallamos por esa senda
a ver que luz encontramos
esa luz que esta en la tierra
y que los hombres apagamos

Se�or de los espacios infinitos
tu que tienes la paz ahi entre las manos
derramala Se�or te lo suplico
y ense�ales a amar a mis hermanos

y ense�ales lo bello de la vida
y a ser consuelo en todas las heridas
y amar con blanco amor toda la tierra
y buscar siempre la paz Se�or y odiar la guerra

y en aquel jardin han entrado
cuatro hombres a por fia
y sin compasion se han llevado
la rosa que yo queria
y luego la han despreciado

y quien me puede demostrar
que Cristo no fue gitano
ni que sabia cantar
las flores de tu balc�n
las flores de tu balc�n
lloran por verte, que lo se yo"
Triste Canción,El Tri,"Ella existio, solo en un sueño 
el es un poema que el poeta nunca escribio 
why en la eternidad los dos 
unieron sus almas 
para darle vida 
a esta triste cancion de amor 

el es como el mar, 

ella es como la luna 

why en las noches de luna llena 

hacen el amor 

why en la eternidad 

los dos unieron sus almas 

para darle vida 

a esta triste cancion de amor 

El es como un dios, 

ella es como una virgen 

why los dioses les enseñaron a pecar 

why en la inmensidad 

los dos unieron sus almas 

para darle vida 

a esta triste cancion de amor."
Twist de Luis,Los Twist,"Basta, basta de llamarme as�
ya voy a ir, voy a subir
cuando me toque a mi..
mientras te canto esta canci�n
en tu voz, en tu honor o en la voz
a los que esten durmiendo aqui.

Y juro, que la cara voy a dar
cada vez, cada vez que alguien te nombre
aqui o all�.

Basta, basta de llamarme as�
ya voy a ir, voy subir
cuando me toque a mi
mientras te canto esta canci�n,
en tu voz, en tu honor, en la voz
a lo que esten durmiendo all�
y juro, que la cara voy a dar
cada vez, cada vez que alguien te nombre
aqui o alla."
Tú Y Yo Somos Uno Mismo,Timbiriche,"El sol, ya no brilla como antes lo hacía a mi alrededor

qué razón pudo darle si todo en lo nuestro era perfección

me dedicaba a quererla y cuidarla y así me corresponde,

sin ni siquiera un adiós, hasta luego, matas mis ilusiones.

y hasta hoy, te recuerdo escuchando a una triste canción,

siento yo lentamente ahogarme solo en mi habitación,

día con día camino en las calles sin una esperanza,

imaginando, pensando si tú todavía me recuerdas.

coro

y no quiero olvidarte tal vez tú regreses

y aquí yo estaré esperándote amor,

no lo puedes llegar a negar, tú y yo somos uno mismo.

nadie a ti te conoce, desplantes de niña,

peleas, discusión y tu grande pasión,

aunque huyas tú siempre sabrás tú y yo somos uno mismo.

Coro"
Un Buen Perdedor,Franco de Vita,"Se que piensas marcharte ya lo se

y no te detendre, haz lo que tu quieras

sin embargo recuerda que yo estare aqui

en el mismo lugar y si solo tienes ganas de hablar

con gusto escuuchare.

Y si el supo darte mas amor

supo llenarte mas que yo

claro que se perder

claro que se perder

No tienes porque disimular

esas lagrimas estan de mas

si tienes que irte vete ya.

Ii)sin embargo esperaba

que te quedaras pero

el agua hay que dejarla correr

mientras yo me tragaba palabras

que no pude decir.

Y si el viento hoy sopla a tu favor

yo no te guardare reencor.

Claro que se perder

no sera la primera vez

hoy te vas tu, mañana me ire yo

sere un buen perdedor

el mundo no cambiara

alguien sin duda ocupe tu lugar"
Una Luna de Miel en la Mano,Virus,"Vuelvo siempre a caminar
tratando de encontrar algo.
Debí soñar o imaginar
que en la calle estás rodando,
Y no es verdad que perdí mi amor
es que no sé muy bien por dónde vas,
no puedo resistir esta realidad
dame pronto una señal

Es que tu cuerpo
va flotando por mi habitación
cierro los ojos
lo retengo en mi imaginación

Vuelvo siempre a caminar
tratando de encontrar algo.
Debí soñar o imaginar
que en la calle estás rodando,
Y no es verdad que perdí mi amor
es que no sé muy bien por dónde vas,
no puedo resistir esta realidad
dame pronto una señal

Es que tu cuerpo
va flotando por mi habitación
cierro los ojos
lo retengo en mi imaginación

Es que tu cuerpo
va flotando por mi habitación
cierro los ojos
lo retengo en mi imaginación
"
Vasos vacíos,Los Fabulosos Cadillacs,"No se bien que dia es hoy

solo se que te vi salir

y en cinco minutos perdí

las letras para hablarte a vos.

Yo se que no tengo palabras

y nunca las voy a tener

por eso aprovecho esta noche

ya vez estoy sola otra vez

Por eso aprovecho esta noche

tal vez lo puedas entender

no me importa poner las letras

solo me importa mi mujer

Mañana cuando te levantes

y pienses lo que dije ayer

Ay viejo! que en este juego

a mí siempre me toca perder

Siempre

Siempre habra vasos vacios

con agua de la ciudad

la nuestra es agua de rió

mezclada con mar

Levanta los brazos mujer

y ponte esta noche a bailar

que la nuestra es agua de rió

mezclada con mar

A ti te quiero decir no te preocupes mi amor

que yo te voy a entender que yo te voy a querer

Siempre ..."
Viento,Caifanes,"Préstame tu peine

y péiname el alma

desenrédame

fuera de este mundo

Di me que no

estoy sonándote

enséñame

de que estamos hechos.



Que quiero orbitar planetas

hasta ver uno vació

que quiero irme a vivir

pero que sea contigo.



Viento amárranos

tiempo detente muchos años

Viento amárranos

tiempo detente muchos años



Préstame tu peine

y péiname el alma

purifícame

no me abandones



Préstame tu sueño

y duérmeme

embrújame

volvámonos eternos.



Que quiero orbitar planetas

hasta ver uno vació

que quiero irme a vivir

pero que sea contigo.



Viento amárranos

tiempo detente muchos años

Viento amárranos

tiempo detente muchos años"
Y cómo es él,José Luis Perales,"Mirándote a los ojos, juraría

Que tienes algo nuevo que contarme

Empieza ya mujer, no tengas miedo

Quizá para mañana sea tarde

Quizá para mañana sea tarde

¿Y cómo es él?

¿En qué lugar se enamoro de ti?

¿De dónde es?

¿A qué dedica el tiempo libre?

Pregúntale

¿por qué ha robado un trozo de mi vida?

Es un ladrón, que me ha robado todo



¿Y cómo es él?

¿En qué lugar se enamoró de ti?

¿De dónde es?

¿A qué dedica el tiempo libre?

Pregúntale

¿Por qué ha robado un trozo de mi vida?

Es un ladrón, que me ha robado todo



Arréglate mujer, se te hace tarde

Y llevate el paraguas por si llueve

Él te estará esperando para amarte

Y yo estaré celoso de perderte



Y abrígate, te sienta bien ese vestido gris

Sonríete, que no sospeche que has llorado

Y déjame, que vaya preparando mi equipaje

Perdóname, si te hago otra pregunta



¿Y cómo es él?

¿En que lugar se enamoró de ti?

¿De dónde es?

¿A qué dedica el tiempo libre?

Pregúntale

¿Porqué ha robado un trozo de mi vida?

Es un ladrón, que me ha robado todo



¿Y cómo es él?

¿En que lugar se enamoró de ti?

¿De dónde es?

¿A qué dedica el tiempo libre?

Pregúntale

¿Porqué ha robado un trozo de mi vida?

Es un ladrón, que me ha robado todo"
Yo No Te Pido La Luna,Daniela Romo,"Quiero envolverme en tus brazos 
Que no quede entre tú y yo un espacio 
Ser el sabor de tu boca 
Y llenarme toda con tu aroma 
Ser confidente 
Y saber por dentro quien eres tú 

Como un tatuaje vivo 

Impregnarme en tu ser, 

No borrarme de ti 

Yo no te pido la luna 

Tan sólo quiero amarte 

Quiero se esa locura que vibra muy dentro de ti 

Yo no te pido la luna 

Sólo te pido el momento 

De rescatar esta piel y robarme esa estrella 

Que vemos tú y yo al hacer el amor.



Correr en contra del viento 

Conocer todos tus sentimientos 

Dos cuerpos entrelazados, 

Esperemos todos los inviernos 

Bésame, en mis labios hallaras calor 

Siénteme, frágil y de papel, como tiemblo por ti 

Yo no te pido la luna 

Tan sólo quiero amarte 

Quiero se esa locura que vibra muy dentro de ti 

Yo no te pido la luna 

Sólo te pido el momento 

De rescatar esta piel y robarme esa estrella 

Que vemos tú y yo al hacer el amor.



Yo no te pido la luna-na 

Sólo quiero tenerte muy cerca de mi 

Yo no te pido la luna-na 

Sólo pido entregarme para siempre a ti 

Yo no te pido la luna 

Tan sólo quiero amarte 

Quiero se esa locura que vibra muy dentro de ti 

Yo no te pido la luna 

Sólo te pido el momento 

De rescatar esta piel y robarme esa estrella 

Que vemos tú y yo al hacer el amor."
Yo te avisé,Los Fabulosos Cadillacs,"Yo te avisé, y vos no me escuchaste

yo te avisé, y vos no me dejaste convencerte

conmigo no hablas, yo no soy de tu clase

conmigo no bailas, porque yo bailo en la calle

Pelado, se que soy un pelado bocón (bis)

Yo te avisé, y vos no me escuchaste

yo te avisé, y vos no me dejaste convencerte

conmigo no hables, yo no soy de tu clase

conmigo no bailas, porque yo bailo en la calle

pelado, se que soy un pelado bocón (bis)

Y si vuelves a casa no me pidas por favor

que el río esta creciendo, no me pidas, no (bis)

Y si vuelves a casa no me pidas por favor

que yo estando borracho no me pidas nooo

Pelado..."
Ámame en cámara lenta,Valeria Lynch,"Tu cuerpo es un sueño, pareces flotar

Así te prefiero, audaz, caprichoso

Rebelde y voraz

Te miro al acecho, dispuesto a atacar

Pareces un gato

Te brillan los ojos en la oscuridad

Eres una roca de cristal

El amor te vuelve más real

Despacito, suavemente

Ámame en cámara lenta

Suavecito, dulcemente

Ámame en cámara lenta

De a poquito, tiernamente

Ámame en cámara lenta

En voz baja, susurrando

Ámame en cámara lenta

Que el amor es vida en movimiento

Y yo, te siento

Tu amor es un sueño, pareces flotar

Y así por el cuarto, me llevas volando

Como un vendaval

Un hilo de luna nos viene a buscar

Y va por el lecho

Rozando los cuerpos con curiosidad

Eres una roca de cristal

El amor te vuelve más real

Despacito, suavemente

Ámame en cámara lenta

Suavecito, dulcemente

Ámame en cámara lenta

De a poquito, tiernamente

Ámame en cámara lenta

En voz baja, susurrando

Ámame en cámara lenta

Que el amor es vida en movimiento

Y yo, te siento."
Él Me Mintió,Amanda Miguel,"El me mintio 
el me dijo que me amaba 
y no era verdad 
el me mintio 
no me amaba 
nunca me amo 

el dejo que lo adorara 



El me mintio 

el me mintio 

era un juego y nada más 

era solo un juego cruel de su vanidad 

el me mintio 



Con el corazón destrozado 

y el rostro mojado 

soy tan desdichada 

quisiera morirme 

mentiras todo era mentira 

palabras al viento 

tan solo un capricho que el niño tenia 



El me mintio 

el me dijo que me amaba 

y no era verdad 

el me mintio 

no me amaba 

nunca me amo 

el dejo que lo adorara 



El me mintio 

el me mintio 

era un juego y nada mas 

era solo un juego cruel de su vanidad 

el me mintio 



De todo el amor que juraba 

jamás hubo nada 

yo fui simplemente otra mas que lo amaba 

mentiras todo era mentira 

los besos las rosas 

las falsas caricias que me estremecian 

señor tu que estas en los cielos 

y que eres tan bueno 

que no quede huella 

en mi piel de sus dedos 



El me mintio (x2)"
